Category,Number of Records,Quantity,Sales,Segment,Ship Mode
Furniture,1,6,$266,Consumer,Same Day
Furniture,1,7,$168,Consumer,Same Day
Furniture,1,7,$384,Consumer,Same Day
Furniture,1,7,$498,Consumer,Same Day
Furniture,1,7,$892,Consumer,Same Day
Furniture,1,7,"$1,091",Consumer,Same Day
Furniture,1,7,"$1,125",Consumer,Same Day
Furniture,1,9,$17,Consumer,Same Day
Furniture,1,9,$464,Consumer,Same Day
Furniture,1,9,$547,Consumer,Same Day
Furniture,1,10,$200,Consumer,Same Day
Furniture,1,1,$3,Consumer,Second Class
Furniture,1,1,$7,Consumer,Second Class
Furniture,1,1,$8,Consumer,Second Class
Furniture,1,1,$12,Consumer,Second Class
Furniture,1,1,$12,Consumer,Second Class
Furniture,1,1,$15,Consumer,Second Class
Furniture,1,1,$16,Consumer,Second Class
Furniture,1,1,$31,Consumer,Second Class
Furniture,1,1,$35,Consumer,Second Class
Furniture,1,1,$49,Consumer,Second Class
Furniture,1,1,$57,Consumer,Second Class
Furniture,1,1,$61,Consumer,Second Class
Furniture,1,1,$65,Consumer,Second Class
Furniture,1,1,$72,Consumer,Second Class
Furniture,1,1,$86,Consumer,Second Class
Furniture,1,1,$104,Consumer,Second Class
Furniture,1,1,$106,Consumer,Second Class
Furniture,1,1,$120,Consumer,Second Class
Furniture,1,1,$121,Consumer,Second Class
Furniture,1,1,$139,Consumer,Second Class
Furniture,1,1,$205,Consumer,Second Class
Furniture,1,1,$210,Consumer,Second Class
Furniture,1,1,$241,Consumer,Second Class
Furniture,1,1,$245,Consumer,Second Class
Furniture,1,1,$275,Consumer,Second Class
Furniture,1,1,$291,Consumer,Second Class
Furniture,1,1,$301,Consumer,Second Class
Furniture,1,1,$386,Consumer,Second Class
Furniture,1,1,$401,Consumer,Second Class
Furniture,1,2,$3,Consumer,Second Class
Furniture,1,2,$5,Consumer,Second Class
Furniture,1,2,$5,Consumer,Second Class
Furniture,1,2,$6,Consumer,Second Class
Furniture,1,2,$8,Consumer,Second Class
Furniture,1,2,$15,Consumer,Second Class
Furniture,1,2,$15,Consumer,Second Class
Furniture,1,2,$15,Consumer,Second Class
Furniture,1,2,$16,Consumer,Second Class
Furniture,1,2,$19,Consumer,Second Class
Furniture,1,2,$24,Consumer,Second Class
Furniture,1,2,$28,Consumer,Second Class
Furniture,1,2,$30,Consumer,Second Class
Furniture,1,2,$30,Consumer,Second Class
Furniture,1,2,$32,Consumer,Second Class
Furniture,1,2,$33,Consumer,Second Class
Furniture,1,2,$40,Consumer,Second Class
Furniture,1,2,$52,Consumer,Second Class
Furniture,1,2,$53,Consumer,Second Class
Furniture,1,2,$71,Consumer,Second Class
Furniture,1,2,$71,Consumer,Second Class
Furniture,1,2,$85,Consumer,Second Class
Furniture,1,2,$85,Consumer,Second Class
Furniture,1,2,$108,Consumer,Second Class
Furniture,1,2,$109,Consumer,Second Class
Furniture,1,2,$114,Consumer,Second Class
Furniture,1,2,$122,Consumer,Second Class
Furniture,1,2,$128,Consumer,Second Class
Furniture,1,2,$146,Consumer,Second Class
Furniture,1,2,$146,Consumer,Second Class
Furniture,1,2,$154,Consumer,Second Class
Furniture,1,2,$167,Consumer,Second Class
Furniture,1,2,$172,Consumer,Second Class
Furniture,1,2,$173,Consumer,Second Class
Furniture,1,2,$182,Consumer,Second Class
Furniture,1,2,$183,Consumer,Second Class
Furniture,1,2,$195,Consumer,Second Class
Furniture,1,2,$209,Consumer,Second Class
Furniture,1,2,$223,Consumer,Second Class
Furniture,1,2,$225,Consumer,Second Class
Furniture,1,2,$240,Consumer,Second Class
Furniture,1,2,$242,Consumer,Second Class
Furniture,1,2,$262,Consumer,Second Class
Furniture,1,2,$292,Consumer,Second Class
Furniture,1,2,$302,Consumer,Second Class
Furniture,1,2,$302,Consumer,Second Class
Furniture,1,2,$302,Consumer,Second Class
Furniture,1,2,$322,Consumer,Second Class
Furniture,1,2,$402,Consumer,Second Class
Furniture,1,2,$421,Consumer,Second Class
Furniture,1,2,$442,Consumer,Second Class
Furniture,1,2,$458,Consumer,Second Class
Furniture,1,2,$562,Consumer,Second Class
Furniture,1,2,"$1,122",Consumer,Second Class
Furniture,1,3,$4,Consumer,Second Class
Furniture,1,3,$9,Consumer,Second Class
Furniture,1,3,$9,Consumer,Second Class
Furniture,1,3,$12,Consumer,Second Class
Furniture,1,3,$12,Consumer,Second Class
Furniture,1,3,$13,Consumer,Second Class
Furniture,1,3,$13,Consumer,Second Class
Furniture,1,3,$15,Consumer,Second Class
Furniture,1,3,$15,Consumer,Second Class
Furniture,1,3,$17,Consumer,Second Class
Furniture,1,3,$18,Consumer,Second Class
Furniture,1,3,$19,Consumer,Second Class
Furniture,1,3,$20,Consumer,Second Class
Furniture,1,3,$23,Consumer,Second Class
Furniture,1,3,$24,Consumer,Second Class
Furniture,1,3,$24,Consumer,Second Class
Furniture,1,3,$25,Consumer,Second Class
Furniture,1,3,$32,Consumer,Second Class
Furniture,1,3,$43,Consumer,Second Class
Furniture,1,3,$49,Consumer,Second Class
Furniture,1,3,$53,Consumer,Second Class
Furniture,1,3,$58,Consumer,Second Class
Furniture,1,3,$72,Consumer,Second Class
Furniture,1,3,$78,Consumer,Second Class
Furniture,1,3,$91,Consumer,Second Class
Furniture,1,3,$124,Consumer,Second Class
Furniture,1,3,$146,Consumer,Second Class
Furniture,1,3,$149,Consumer,Second Class
Furniture,1,3,$155,Consumer,Second Class
Furniture,1,3,$165,Consumer,Second Class
Furniture,1,3,$170,Consumer,Second Class
Furniture,1,3,$174,Consumer,Second Class
Furniture,1,3,$174,Consumer,Second Class
Furniture,1,3,$182,Consumer,Second Class
Furniture,1,3,$187,Consumer,Second Class
Furniture,1,3,$190,Consumer,Second Class
Furniture,1,3,$216,Consumer,Second Class
Furniture,1,3,$243,Consumer,Second Class
Furniture,1,3,$254,Consumer,Second Class
Furniture,1,3,$255,Consumer,Second Class
Furniture,1,3,$258,Consumer,Second Class
Furniture,1,3,$259,Consumer,Second Class
Furniture,1,3,$269,Consumer,Second Class
Furniture,1,3,$277,Consumer,Second Class
Furniture,1,3,$286,Consumer,Second Class
Furniture,1,3,$301,Consumer,Second Class
Furniture,1,3,$303,Consumer,Second Class
Furniture,1,3,$333,Consumer,Second Class
Furniture,1,3,$345,Consumer,Second Class
Furniture,1,3,$366,Consumer,Second Class
Furniture,1,3,$369,Consumer,Second Class
Furniture,1,3,$380,Consumer,Second Class
Furniture,1,3,$436,Consumer,Second Class
Furniture,1,3,$715,Consumer,Second Class
Furniture,1,3,$718,Consumer,Second Class
Furniture,1,3,$722,Consumer,Second Class
Furniture,1,3,$732,Consumer,Second Class
Furniture,1,3,$783,Consumer,Second Class
Furniture,1,3,$842,Consumer,Second Class
Furniture,1,3,$843,Consumer,Second Class
Furniture,1,3,$887,Consumer,Second Class
Furniture,1,4,$7,Consumer,Second Class
Furniture,1,4,$9,Consumer,Second Class
Furniture,1,4,$20,Consumer,Second Class
Furniture,1,4,$20,Consumer,Second Class
Furniture,1,4,$64,Consumer,Second Class
Furniture,1,4,$81,Consumer,Second Class
Furniture,1,4,$117,Consumer,Second Class
Furniture,1,4,$155,Consumer,Second Class
Furniture,1,4,$170,Consumer,Second Class
Furniture,1,4,$195,Consumer,Second Class
Furniture,1,4,$283,Consumer,Second Class
Furniture,1,4,$288,Consumer,Second Class
Furniture,1,4,$328,Consumer,Second Class
Furniture,1,4,$355,Consumer,Second Class
Furniture,1,4,$435,Consumer,Second Class
Furniture,1,4,$579,Consumer,Second Class
Furniture,1,4,$752,Consumer,Second Class
Furniture,1,4,$866,Consumer,Second Class
Furniture,1,4,$871,Consumer,Second Class
Furniture,1,4,"$1,670",Consumer,Second Class
Furniture,1,4,"$2,396",Consumer,Second Class
Furniture,1,5,$8,Consumer,Second Class
Furniture,1,5,$15,Consumer,Second Class
Furniture,1,5,$17,Consumer,Second Class
Furniture,1,5,$18,Consumer,Second Class
Furniture,1,5,$19,Consumer,Second Class
Furniture,1,5,$24,Consumer,Second Class
Furniture,1,5,$25,Consumer,Second Class
Furniture,1,5,$25,Consumer,Second Class
Furniture,1,5,$31,Consumer,Second Class
Furniture,1,5,$43,Consumer,Second Class
Furniture,1,5,$94,Consumer,Second Class
Furniture,1,5,$101,Consumer,Second Class
Furniture,1,5,$105,Consumer,Second Class
Furniture,1,5,$111,Consumer,Second Class
Furniture,1,5,$115,Consumer,Second Class
Furniture,1,5,$135,Consumer,Second Class
Furniture,1,5,$177,Consumer,Second Class
Furniture,1,5,$244,Consumer,Second Class
Furniture,1,5,$248,Consumer,Second Class
Furniture,1,5,$301,Consumer,Second Class
Furniture,1,5,$304,Consumer,Second Class
Furniture,1,5,$304,Consumer,Second Class
Furniture,1,5,$420,Consumer,Second Class
Furniture,1,5,$604,Consumer,Second Class
Furniture,1,5,$604,Consumer,Second Class
Furniture,1,5,$697,Consumer,Second Class
Furniture,1,5,$705,Consumer,Second Class
Furniture,1,5,$744,Consumer,Second Class
Furniture,1,5,$913,Consumer,Second Class
Furniture,1,5,"$1,605",Consumer,Second Class
Furniture,1,6,$29,Consumer,Second Class
Furniture,1,6,$30,Consumer,Second Class
Furniture,1,6,$127,Consumer,Second Class
Furniture,1,6,$128,Consumer,Second Class
Furniture,1,6,$146,Consumer,Second Class
Furniture,1,6,$276,Consumer,Second Class
Furniture,1,6,$516,Consumer,Second Class
Furniture,1,6,$546,Consumer,Second Class
Furniture,1,6,$573,Consumer,Second Class
Furniture,1,6,$664,Consumer,Second Class
Furniture,1,6,$765,Consumer,Second Class
Furniture,1,6,$822,Consumer,Second Class
Furniture,1,6,$910,Consumer,Second Class
Furniture,1,6,"$3,785",Consumer,Second Class
Furniture,1,7,$9,Consumer,Second Class
Furniture,1,7,$19,Consumer,Second Class
Furniture,1,7,$66,Consumer,Second Class
Furniture,1,7,$192,Consumer,Second Class
Furniture,1,7,$345,Consumer,Second Class
Furniture,1,7,$350,Consumer,Second Class
Furniture,1,7,$384,Consumer,Second Class
Furniture,1,7,$397,Consumer,Second Class
Furniture,1,7,$603,Consumer,Second Class
Furniture,1,7,$766,Consumer,Second Class
Furniture,1,7,"$1,013",Consumer,Second Class
Furniture,1,7,"$1,267",Consumer,Second Class
Furniture,1,7,"$1,441",Consumer,Second Class
Furniture,1,8,$78,Consumer,Second Class
Furniture,1,8,"$1,208",Consumer,Second Class
Furniture,1,8,"$1,478",Consumer,Second Class
Furniture,1,9,$91,Consumer,Second Class
Furniture,1,9,$384,Consumer,Second Class
Furniture,1,9,$467,Consumer,Second Class
Furniture,1,9,"$1,352",Consumer,Second Class
Furniture,1,9,"$1,931",Consumer,Second Class
Furniture,1,9,"$2,666",Consumer,Second Class
Furniture,1,9,"$4,416",Consumer,Second Class
Furniture,1,12,"$3,611",Consumer,Second Class
Furniture,1,13,"$1,618",Consumer,Second Class
Furniture,1,13,"$4,298",Consumer,Second Class
Furniture,1,14,"$1,820",Consumer,Second Class
Furniture,1,1,$4,Consumer,Standard Class
Furniture,1,1,$5,Consumer,Standard Class
Furniture,1,1,$6,Consumer,Standard Class
Furniture,1,1,$8,Consumer,Standard Class
Furniture,1,1,$9,Consumer,Standard Class
Furniture,1,1,$9,Consumer,Standard Class
Furniture,1,1,$12,Consumer,Standard Class
Furniture,1,1,$13,Consumer,Standard Class
Furniture,1,1,$15,Consumer,Standard Class
Furniture,1,1,$15,Consumer,Standard Class
Furniture,1,1,$19,Consumer,Standard Class
Furniture,1,1,$20,Consumer,Standard Class
Furniture,1,1,$20,Consumer,Standard Class
Furniture,1,1,$22,Consumer,Standard Class
Furniture,1,1,$23,Consumer,Standard Class
Furniture,1,1,$24,Consumer,Standard Class
Furniture,1,1,$27,Consumer,Standard Class
Furniture,1,1,$30,Consumer,Standard Class
Furniture,1,1,$32,Consumer,Standard Class
Furniture,1,1,$36,Consumer,Standard Class
Furniture,1,1,$43,Consumer,Standard Class
Furniture,1,1,$43,Consumer,Standard Class
Furniture,1,1,$52,Consumer,Standard Class
Furniture,1,1,$52,Consumer,Standard Class
Furniture,1,1,$52,Consumer,Standard Class
Furniture,1,1,$64,Consumer,Standard Class
Furniture,1,1,$64,Consumer,Standard Class
Furniture,1,1,$66,Consumer,Standard Class
Furniture,1,1,$69,Consumer,Standard Class
Furniture,1,1,$71,Consumer,Standard Class
Furniture,1,1,$71,Consumer,Standard Class
Furniture,1,1,$72,Consumer,Standard Class
Furniture,1,1,$81,Consumer,Standard Class
Furniture,1,1,$86,Consumer,Standard Class
Furniture,1,1,$90,Consumer,Standard Class
Furniture,1,1,$91,Consumer,Standard Class
Furniture,1,1,$102,Consumer,Standard Class
Furniture,1,1,$103,Consumer,Standard Class
Furniture,1,1,$103,Consumer,Standard Class
Furniture,1,1,$108,Consumer,Standard Class
Furniture,1,1,$113,Consumer,Standard Class
Furniture,1,1,$137,Consumer,Standard Class
Furniture,1,1,$172,Consumer,Standard Class
Furniture,1,1,$177,Consumer,Standard Class
Furniture,1,1,$181,Consumer,Standard Class
Furniture,1,1,$192,Consumer,Standard Class
Furniture,1,1,$207,Consumer,Standard Class
Furniture,1,1,$221,Consumer,Standard Class
Furniture,1,1,$241,Consumer,Standard Class
Furniture,1,1,$257,Consumer,Standard Class
Furniture,1,1,$331,Consumer,Standard Class
Furniture,1,1,$351,Consumer,Standard Class
Furniture,1,2,$2,Consumer,Standard Class
Furniture,1,2,$3,Consumer,Standard Class
Furniture,1,2,$4,Consumer,Standard Class
Furniture,1,2,$4,Consumer,Standard Class
Furniture,1,2,$4,Consumer,Standard Class
Furniture,1,2,$5,Consumer,Standard Class
Furniture,1,2,$6,Consumer,Standard Class
Furniture,1,2,$6,Consumer,Standard Class
Furniture,1,2,$7,Consumer,Standard Class
Furniture,1,2,$8,Consumer,Standard Class
Furniture,1,2,$8,Consumer,Standard Class
Furniture,1,2,$11,Consumer,Standard Class
Furniture,1,2,$12,Consumer,Standard Class
Furniture,1,2,$13,Consumer,Standard Class
Furniture,1,2,$14,Consumer,Standard Class
Furniture,1,2,$14,Consumer,Standard Class
Furniture,1,2,$14,Consumer,Standard Class
Furniture,1,2,$14,Consumer,Standard Class
Furniture,1,2,$14,Consumer,Standard Class
Furniture,1,2,$15,Consumer,Standard Class
Furniture,1,2,$15,Consumer,Standard Class
Furniture,1,2,$15,Consumer,Standard Class
Furniture,1,2,$16,Consumer,Standard Class
Furniture,1,2,$17,Consumer,Standard Class
Furniture,1,2,$17,Consumer,Standard Class
Furniture,1,2,$17,Consumer,Standard Class
Furniture,1,2,$17,Consumer,Standard Class
Furniture,1,2,$19,Consumer,Standard Class
Furniture,1,2,$19,Consumer,Standard Class
Furniture,1,2,$20,Consumer,Standard Class
Furniture,1,2,$29,Consumer,Standard Class
Furniture,1,2,$29,Consumer,Standard Class
Furniture,1,2,$32,Consumer,Standard Class
Furniture,1,2,$35,Consumer,Standard Class
Furniture,1,2,$35,Consumer,Standard Class
Furniture,1,2,$37,Consumer,Standard Class
Furniture,1,2,$40,Consumer,Standard Class
Furniture,1,2,$40,Consumer,Standard Class
Furniture,1,2,$40,Consumer,Standard Class
Furniture,1,2,$40,Consumer,Standard Class
Furniture,1,2,$42,Consumer,Standard Class
Furniture,1,2,$42,Consumer,Standard Class
Furniture,1,2,$42,Consumer,Standard Class
Furniture,1,2,$43,Consumer,Standard Class
Furniture,1,2,$43,Consumer,Standard Class
Furniture,1,2,$44,Consumer,Standard Class
Furniture,1,2,$48,Consumer,Standard Class
Furniture,1,2,$48,Consumer,Standard Class
Furniture,1,2,$57,Consumer,Standard Class
Furniture,1,2,$57,Consumer,Standard Class
Furniture,1,2,$64,Consumer,Standard Class
Furniture,1,2,$66,Consumer,Standard Class
Furniture,1,2,$67,Consumer,Standard Class
Furniture,1,2,$68,Consumer,Standard Class
Furniture,1,2,$68,Consumer,Standard Class
Furniture,1,2,$69,Consumer,Standard Class
Furniture,1,2,$71,Consumer,Standard Class
Furniture,1,2,$78,Consumer,Standard Class
Furniture,1,2,$79,Consumer,Standard Class
Furniture,1,2,$83,Consumer,Standard Class
Furniture,1,2,$85,Consumer,Standard Class
Furniture,1,2,$86,Consumer,Standard Class
Furniture,1,2,$92,Consumer,Standard Class
Furniture,1,2,$97,Consumer,Standard Class
Furniture,1,2,$97,Consumer,Standard Class
Furniture,1,2,$108,Consumer,Standard Class
Furniture,1,2,$110,Consumer,Standard Class
Furniture,1,2,$114,Consumer,Standard Class
Furniture,1,2,$116,Consumer,Standard Class
Furniture,1,2,$121,Consumer,Standard Class
Furniture,1,2,$121,Consumer,Standard Class
Furniture,1,2,$124,Consumer,Standard Class
Furniture,1,2,$127,Consumer,Standard Class
Furniture,1,2,$127,Consumer,Standard Class
Furniture,1,2,$128,Consumer,Standard Class
Furniture,1,2,$130,Consumer,Standard Class
Furniture,1,2,$131,Consumer,Standard Class
Furniture,1,2,$142,Consumer,Standard Class
Furniture,1,2,$142,Consumer,Standard Class
Furniture,1,2,$146,Consumer,Standard Class
Furniture,1,2,$146,Consumer,Standard Class
Furniture,1,2,$155,Consumer,Standard Class
Furniture,1,2,$162,Consumer,Standard Class
Furniture,1,2,$162,Consumer,Standard Class
Furniture,1,2,$162,Consumer,Standard Class
Furniture,1,2,$172,Consumer,Standard Class
Furniture,1,2,$173,Consumer,Standard Class
Furniture,1,2,$174,Consumer,Standard Class
Furniture,1,2,$181,Consumer,Standard Class
Furniture,1,2,$182,Consumer,Standard Class
Furniture,1,2,$182,Consumer,Standard Class
Furniture,1,2,$192,Consumer,Standard Class
Furniture,1,2,$192,Consumer,Standard Class
Furniture,1,2,$194,Consumer,Standard Class
Furniture,1,2,$197,Consumer,Standard Class
Furniture,1,2,$197,Consumer,Standard Class
Furniture,1,2,$198,Consumer,Standard Class
Furniture,1,2,$200,Consumer,Standard Class
Furniture,1,2,$205,Consumer,Standard Class
Furniture,1,2,$205,Consumer,Standard Class
Furniture,1,2,$206,Consumer,Standard Class
Furniture,1,2,$206,Consumer,Standard Class
Furniture,1,2,$210,Consumer,Standard Class
Furniture,1,2,$211,Consumer,Standard Class
Furniture,1,2,$211,Consumer,Standard Class
Furniture,1,2,$225,Consumer,Standard Class
Furniture,1,2,$225,Consumer,Standard Class
Furniture,1,2,$226,Consumer,Standard Class
Furniture,1,2,$228,Consumer,Standard Class
Furniture,1,2,$237,Consumer,Standard Class
Furniture,1,2,$239,Consumer,Standard Class
