comments,date,host_id,host_name,Id,listing_id,listing_name,Number of Records,reviewer_name,review_id
Sevylla was a wonderful host! She was warm and accommodating and gave us some great tips on places to check out while in Austin. The studio was clean well equipped and steps away from the #7 bus line stop which takes you downtown. We had a wonderful time there and would definitely stay again!,1/2/2013,230553,Sevylla,3224727,50310,Super Hip South Austin Studio,1,Kresha,54000013
Great place surrounded by nature. It feels like you staying a fifty miles from town but it's just 5 minutes walk to a bus stop and 25 minutes ride to Downtown.,1/2/2013,681301,Coleman,3227094,139693,Eco nature retreat in community,1,Ilya,54000014
Had a great time. Christian was very helpful and accommodating. Great surround sound with speakers that work on the roof which made for a great party.,1/2/2013,1642082,Christian,3230908,320466,3BR/2BA Rooftop Deck East Downtown,1,Charlie,54000015
Andi is a great of a host as I think we'll ever find. She kept in great communication and was also incredibly considerate. Her recommendations were spot-on. The apartment itself is very well located and worked out great for us. I'll definitely be looking to the apartment again next time I'm in Austin. If you're in town definitely see if any of Andi's listings are available. You won't regret it!,1/2/2013,11349,Alexandria,3217585,296286,Charming Apartment-BEST LOCATION! A,1,Michael,54000016
Clean independent room with its own bathroom. if you are looking for more a hotel experience this is for you. Chris was friendly and easy going. It was nice to be able to come in and out without disturbing the whole household. The house is close to everything by bike. If you are going for a walk head towards town the neighborhood to the east is less desirable.,1/2/2013,1566930,Chris,3234008,304808,Spanish Hacienda mile from downtown,1,Valerie And Dan,54000017
We stayed in the Aerie on our wedding night/New Year's Eve and it was perfect for us.  It was comfortable and well appointed and I love the construction as well.  I will definitely want to stay with Belle and Allen any time we want to get out for an evening.,1/2/2013,1284548,Gwen & Richard,3221573,244785,Mid Week Special!!,1,Emily,54000018
"""This is a long overdue review for Dolina and her absolutely charming guest house. My partner and I were in Austin for the first time for a friend's wedding over New Year's Eve (phone number hidden)) which was being held at nearby Mercury Hall. Given the timing of the event we decided it would be ideal if we could find a place to stay within walking distance of the venue and we could not have been more pleased to find this property.",1/2/2013,,,3215979,69810,,1,Heather,54000019
This house is huge. Within the first 5 minutes I got lost twice. We were 8 people and still had beds to spare. Its obvious that Courtney has really put in alot of effort in keeping the house looking amazing expecially the kitchen and dinning area which were very welcoming. Courtney was very responsive and I would stay here again if I had a large group (8 to 10 people).,1/2/2013,1835217,Courtney,3231778,363079,Vintage Tudor in SoCo,1,Avni,54000020
Had such a god time I came back three days later. Recommended.,1/2/2013,1631335,Peggy,3234220,340164,Office bedrm with private entrance,1,Rusty,54000021
Very cute and comfortable condo. Worked great for two people. Heather was very communicative and helpful. Close to everywhere we wanted to go.,1/3/2013,1407108,Heather,3249227,276522,Chic Cozy Condo near Zilker Park,1,Emily,54000022
"""Simon went above and beyond to make sure we had an enjoyable stay evening going to the extent of making special requested arrangements. The space was beautiful spacious well furnished and comfortable.  The pictures really don't give the experience justice.",1/3/2013,,,3253510,644773,,1,Gerald,54000023
I can say that my trip down here was very good the overall area had a good outdoors area along with it being eco so I was happy to stay there it was quite wonderful with some of the things they used in their place to help nature and not damage it I would say that Coleman was a very good host all in all this was a good place.,1/3/2013,681301,Coleman,3252372,356521,nora'S ROOM  on nature preserve,1,Jesse,54000024
Matt was great and the location close to S. Congress is excellent. Great food and shopping nearby easy to get to downtown. Compare prices with the nearby Hotel San Jose and you'll see what a great deal this is. This house was perfect for a short one-person stay in Austin.,1/3/2013,1348968,SoCoBnB /Matt,3255383,256464,A Baby suite on SoCo in room bath,1,Colin,54000025
"""Our stay at Garret's place was really nice. It was clean comfortable and even stocked with a few beers he left in the fridge for us. He also let us use a couple of his bikes since we didn't have a car and they worked out great for us. We were able to get around town easily from his place. It was maybe a 10-15 minute bike ride to downtown and there were lots of great places to eat and drink that were within biking distance.",1/3/2013,,,3248491,692220,,1,Drew,54000026
Great experience! The hosts were very communicative and went out of their way while on vacation to make sure we were settled. Accommodations were way beyond expectations. Great place to stay very highly recommended.,1/3/2013,2839795,Margo,3256091,577499,Sunny Zilker Neighborhood Studio,1,Harley,54000027
This place was perfect! It is not only adorable and decorated with care and taste it is SO convenient! We were right where everyone wants to be-- SoCo! The bed linens and pillows were wonderful! Finally a place with comfortable soft pillows! Nice big TV great little kitchen (love not having to eat every meal in a restaurant) fully equipped with a coffee pot toaster etc. and a really nice bathroom-- spacious and clean as can be. Joe left clear explicit directions on getting into the house so even though we got there late and we had never been there before it was all good. Thanks Joe. This was a real find and we will be sure to spread the word to others we know traveling to Austin. Thank you!!,1/3/2013,1151576,Joe & Bella,3236904,224979,Guest Cottage 2 Miles To D/T,1,Alice,54000028
Wonderful cozy property that is well managed by kind folks. Everything you need is within walking distance and the bikes are a great idea (though it was too cold the days we were visiting). Thanks Leslie BJ and Star for making our visit memorable.,1/3/2013,57304,Bj,3245742,280457,Verde Camp/ South Congress 2BR +,1,Kortney,54000029
Overall we had a good stay. The room is tiny - smaller than it appears in the photo - but the bed was comfortable and we slept well. Location is great - highly walkable area. Matt's pets are very sweet and friendly which is great as long as you like animals and don't mind having a cat come into your room from time to time. The bathroom is nice and clean. You might want to bring your own shampoo.,1/3/2013,1348968,SoCoBnB /Matt,3253292,368156,Private Room B With Bath on SOCO,1,Swarat,54000030
"""Cindy's place was wonderful! The location was perfect and the accommodations were lovely. The apartment was decorated beautifully and was quite comfortable--especially the big comfy bed and the gorgeous kitchen. Cindy provided all the comforts of home and was never more than a text message away. I have already recommended this spot to friends.",1/3/2013,,,3240389,576243,,1,Megan,54000031
Lovely place. Smells wonderfully of wood. Spacious airy. Easy and enjoyable experience.,1/3/2013,1284548,Gwen & Richard,3258577,244785,Mid Week Special!!,1,Andrew,54000032
"""Just stayed at Jim O's in SoCo last week with my daughter. We had a BLAST!!! It was really cold and wet (usual for Austin lately) but still thoroughly enjoyed it. Jim and the menagerie of folks coming / going through made it extra special. Samuel the """"6th St. Cowboy"""" was fun :-) Jim has 2 white mules and a brown one on site. Super cool goats and a rockin' fire ring down by the creek. Magical place he is making even better.",1/3/2013,,,3257292,304866,,1,Roze,54000033
excellent apartment exactly as described. very clean and comfortable. the host had great communication before and during our stay and lives above the apartment in case there are any issues which there weren't for us. the location of the apartments brilliant with easy access to Many of the best places in Austin whether by car bus bike or walking. would stay again during future visits.,1/3/2013,2146434,Brenda,3254427,431722,Zilker & Barton Springs Cabin.,1,Ian,54000034
"""Matt's studio apartment is exactly as he describes.  It is in a perfect location with a private entrance that leads directly to S Congress.  We arrived 45 mins late and Matt was very helpful and accommodating.  He kindly  told us that we could call or text him at any time. Wifi is available which was great.  We are a couple in our 60's and this was our first airbnb experience.  The following review is based on our personal preferences and is not a reflection of Matt or the information given by him but we hope it will be helpful to other people at our """"stage of the game""""  We did not have good weather in Austin and the apartment has no comfortable place to sit and read a book - the only seating is 2 hard kitchen chairs.  There are no windows in the apartment - the doors have glass in them but for privacy the blinds need to be closed.  If you are tall the shower will be a problem for you.  There were no drinking glasses wine glasses coffee filters - only 2 mugs and a few plates no chest of drawers.  The cupboard door was broken off its hinges and could not be closed.  Having said that we loved Austin and this location was perfect - walking distance to downtown great restaurants S Congress theaters Lady Bird Lake. We are simply looking for a few more amenities than offered at Matt's Studio apartment.  Ruth and Ian Robertson""",1/3/2013,1348968,SoCoBnB /Matt,3242476,324552,South Congress private SOCO Studio,1,Ruth,54000035
The reservation was canceled 9 days before arrival. This is an automated posting.,1/4/2013,1523587,Dallas,3272896,294708,Excellent Proximity Austin 4bd 3ba,1,Laura,54000036
Edie was such a fantastic host she was even kind enough to pick us up from the airport upon our arrival! Her bungalow is comfortable and well-decorated in an ideal location for walking to downtown and it was great to have access to the bikes while we were there. I would happily stay there next time we're in Austin!,1/4/2013,1134885,Edie,3264929,219202,Quiet Bungalow- short walk downtown,1,Megan,54000037
This casita was just perfect for our week long visit to Austin!  The inside was clean and comfortable.  Unfortunately we had locked ourselves out but when we had to bother the host  to get back in she was very understanding.We would not hesitate to stay here again.,1/4/2013,1855238,Caroline,3263385,367445,Charming Hyde Park Casita,1,Jean,54000038
The place is great with plenty of space to sleep three people. The location is amazing too close to 6th Street East 6th Rainy Street and SoCo. Had a great time and Jamie's instructions were spot on!,1/4/2013,1921749,Jamie,3269415,383689,Modern Loft in the Middle of Austin,1,Chris,54000039
"""Words can't really do justice to this AMAZING HOST and PEACEFUL SPACE! It's more of a feeling that you've been blessed.",1/4/2013,,,3261995,522136,,1,Jodi,54000040
This was my first trip to Austin and a good one at that. Matt was helpful and told me about the cool local bars on Rainy Street. His home was awesome & I would def visit again.,1/4/2013,1348968,SoCoBnB /Matt,3272499,256464,A Baby suite on SoCo in room bath,1,Zac,54000041
It was a pleasant stay as usual! I love this home! :-),1/4/2013,8186,Elizabeth,3272727,5769,NW Austin Rooms,1,So Young,54000042
Being new to the Air BnB community I must admit I was nervous about how this might work.  Joe was professional with a nice welcome packet that clearly lined out how the BnB would work and the very basic common sense guidelines he wished for us to keep in mind.  He was also personable and even was willing to help us with the possibility of a second vehicle even though there was just one parking space for the BnB.  We didn't need to utilize this but he was so conscientious and helpful all the way through.  The home was immaculate and was carefully appointed for every basic need a guest could have.  I will definitely stay at one of Joe's properties unless he is booked.    As to being new to Air BnB well Joe has set the bar high.  I can't imagine it being any better than this!,1/5/2013,1151576,Joe & Bella,3283506,224979,Guest Cottage 2 Miles To D/T,1,Kyle,54000043
Elizabeth's studio is in a great location with easy walking or driving access to different parts of the city - and it's a short walk to Torchy's Tacos a.k.a some top-shelf trailer tacos! My girlfriend and I stayed for eight days and were very pleased with the studio which is small and cozy and has a very comfortable bed linens towels and kitchen implements as needed. We would happily stay at socohouse again.,1/5/2013,1674160,Elizabeth,3273999,543363,South Congress Studio perfect 4 2!,1,Adam,54000044
The night at Elisabeths and David's place was my first airbnb experience and it definitely was a good one. They  answered all the questions I had and made me feel like I were at my own home. Moreover they helped a lot with touristic stuff. Last but lot least the bed was really comfortable and I loved the decoration style in the bathroom.,1/5/2013,8186,Elizabeth,3281265,5769,NW Austin Rooms,1,Ju,54000045
My boyfriend and I had a wonderful time staying at the the birdhouse! The place was incredibly cozy charming and well stocked with a great assortment of books–– we would have been happy just staying in and reading for an entire week! Dolina was a lovely host and had provided us with tea coffee fruit and chocolates. The location is great-- very central but at the same time tucked away so it was nice and quiet. Lets just say we didn't want to leave! We would definitely stay here again!,1/5/2013,82762,Dolina,3283536,69810,Cozy Casita Near Downtown in SoCo,1,Nancy,54000046
Matt was a great host - after a difficult start in Austin for me Matt was able to accommodate a last minute request to stay in the studio unit.  I couldn't have been happier with the place (perfect as pictured!) the host and the location.  SOCO in Austin is a lot of fun and Matt is such a laid-back gentleman with some sweet pets.  Thanks Matt! :),1/5/2013,1348968,SoCoBnB /Matt,3284800,324552,South Congress private SOCO Studio,1,Lorraine,54000047
This is a great place for two people.  The location couldn't be better: close to everything on S. 1st S. Congress and downtown.  Plenty of great restaurants and coffee nearby.  It is also very private and Dan's garden is great.  Highly recommended.,1/6/2013,424835,Dan,3293311,78974,78704 Detached Garden  Cottage,1,Sergio,54000048
Jim O was completely accommodating and saved my hide with some extra blankets when I was ill-equipped for the weather.  Very Cool Spot.,1/6/2013,1568741,Jim O',3293507,685447,EZ Camping = SxSAustin4,1,Cole,54000049
Very well furnished place. If you are tall - like over 6 ft. then the bathroom/shower might be too small for your taste. But worked out great for us. Nice private carriage house.,1/6/2013,336916,Drew,3294728,68130,Hyde Park Flat - Bamboo Floors,1,Allan & Cindy,54000050
Totally lovely and charming place  perfect for our weekend getaway. It was very clean and private. It is very convenient to the freeway and so quiet. My wife loved the impressionist artwork. We stayed there with our 2 dogs and it was great to be able to let them explore the yard. We only bumped into Sara once the whole time.  There was plenty of parking on the street and it was a safe neighbourhood. The  cafe Cherrywood around the corner had really good food tacos especially. The best part is that everything is close by downtown is less than a 7 minute drive so we were able to explore Zilker Park walk part of the trail and check out the famous 6th street..(a bit too youngish for us..). Don't forget to bring a laptop as there is no TV (couldn't miss my soccer team playing) but there are plenty of books. We would definitely stay there again if we ever found ourselves in Austin.,1/7/2013,359112,Sara,3305350,70659,Private Cottage-Near UT/Hyde Park,1,Federico,54000051
Christian was a great host.  Easy and friendly to communicate with and his place was exactly as advertised.  I would definitely stay at this place again next time I'm in Austin.,1/7/2013,1648227,Chris,3304013,321857,Awesome 2BR/2BA Downtown Austin Apt,1,Howie,54000052
"""This house was perfect for my out of town guests. We had to find a place at the last minute and Joseph couldn't have been more accommodating! I paid for the rental on Wednesday night and it was ready for occupancy at 1 pm the very next day with a bottle of champagne in the fridge for our celebration! The house is very well appointed and comfortable. I will recommend this house to any out of town guests I have in the future!",1/7/2013,,,3298498,603084,,1,Debbie,54000053
Great hosts great city great Spartanette! Definitely one of the most unique and enjoyable Airbnb experiences we have had yet. Sara was a wonderful host offering us her hospitality (providing us with drinks and a bottle of champagne upon arrival) as well as many local recommendations. The Spartanette is surprisingly spacious and superbly remodeled and decorated. We ended up bringing our own bicycles which made the East Austin location perfect for exploring all parts of the city. Overall we had a great experience and will not hesitate to stay in the Spartanette the next time we are in Austin.,1/7/2013,1647037,Sara,3297300,321636,Chic 1953 Spartanette Guesthouse,1,Paul,54000054
Jennifer and her boyfriend were very friendly and welcoming. The room and bathroom were clean. The house is very close to Austin and she was quick to offer a ride to the bus stop and anywhere they were going out for the night. The dog and cats were nice too :-) I would book here again for sure! The little house in the backyard was awesome too great set up back there.,1/7/2013,1907305,Jen,3299778,379988,Room Close to downtown,1,Cassandra,54000055
"""The Ollington's apartment was the perfect place to stay in every way imaginable - the location was great (Hyde Park is a lovely neighbourhood) the host and his family was just the best and Wallace (the dog) was so much fun to play with.",1/7/2013,,,3300380,78831,,1,Paol,54000056
"""Visited Veronica's cottage while taking some time away from work..and well..life.  I couldn't have found a better place.  It was just as described groovy..and hip.  Most of the items throughout the space I could only visualize how they came to be where they were.",1/7/2013,,,3305338,300574,,1,Joseph,54000057
What a lovely place! It was very quiet and well built. I will be recommending this place to others.,1/7/2013,1284548,Gwen & Richard,3300096,244785,Mid Week Special!!,1,Butch,54000058
"""Dan was very communicative. Even though he was out of town he arranged for his friend to set everything up for us. She even called to ask us what time we would be arriving.",1/8/2013,,,3311839,78974,,1,Mali,54000059
Its a very nice and quite spacious condo. Its well kept maintained and well stocked. It feels very cosy and comfortable. A nice home away from home is how it feels. Its situated in a quiet neighbourhood which adds to the home away from home feel. Location is near the university campus grounds but in Austin I strongly recommend you get a car as the buses here leave alot to be desired. The owner Alexis was very helpful and communicative. She is a great host. I had a great stay.,1/8/2013,2567934,Alexis,3309764,522136,Downtown Oasis - Quiet Retreat!,1,Allen,54000060
Excellent. Coffee and friendly company. Recommended.,1/8/2013,1631335,Peggy,3312991,327911,Lovely Room -On Bus Line!,1,Rusty,54000061
Such a great place I just can't leave.  Thanks for being a great roommate!,1/8/2013,1901242,Leslie,3309848,383603,Cozy Little House... walk downtown,1,Mike,54000062
Thoroughly enjoyed our stay at the bungalow! Sovay was very accommodating. Great location! Easy to walk anywhere or access public transport. Great little place to stay!,1/9/2013,347068,Sovay,3314599,166561,SOCO ItZ bitZ Bungalow,1,Melanie,54000063
I was in Austin for an interview. Belle went above and beyond to help with finding good places to eat transportation and all things Austin. I highly recommend the Aerie Guest House.,1/9/2013,1284548,Gwen & Richard,3318731,244785,Mid Week Special!!,1,Nicholas,54000064
Great place location dogs and Matt was pleasant and put us up last minute in the private studio in the back which was  clean modern and comfy. The only negative was that there was a major work crew ripping up a foundation next door which made it tough to sleep in but hey who wants to sleep through vacation? Would definitely stay there again thanks Matt!,1/9/2013,1348968,SoCoBnB /Matt,3319667,324552,South Congress private SOCO Studio,1,Jenna,54000065
I had a great stay and would definitely go back.,1/10/2013,10615,Simon,3323507,644773,Southwestern Adobe Guest House,1,Toshi,54000066
Matt's great!  The room was tiny but perfect for me and my girlfriend.  It had it's own bathroom and closet space (sort of).  I loved it and would come back again.,1/10/2013,1348968,SoCoBnB /Matt,3324923,368156,Private Room B With Bath on SOCO,1,Kevin,54000067
Jennifer was flexible in my late arrival time and made sure that I had all that I needed.  Her separate backyard minihouse looks like a very fun spot although I stayed in the main house.  Large room comfy bed and friendly pets.  I didn't get to spend much time with Jennifer because I was on a tight schedule.  I would definitely recommend this as a good value.,1/10/2013,1907305,Jen,3324319,379988,Room Close to downtown,1,Andrew,54000068
This is an absolutely lovely apartment lovely linen beds and lounge to chill in.  Great big kitchen.  We loved our stay here.   Crystal was a great host very communicative and helpful with suggestions about where to go in Austin.,1/11/2013,2436512,Crystal,3326445,628034,Boutique Style in Hip East Austin,1,Hannah,54000069
The location is great. House was spotless warm and beyond comfortable.,1/11/2013,1284548,Gwen & Richard,3328580,244785,Mid Week Special!!,1,Mike,54000070
I visit Austin frequently and stay at Joe's properties as often as possible. I recently had the opportunity to stay at the Hideaway for the first time and I absolutely loved it. It was  well decorated and very comfortable. I slept like a baby! The location is ideal (close to SoCo and downtown) and based on my experience there is no better host than Joe. I highly recommend this property.,1/11/2013,1151576,Joe & Bella,3328348,224956,Guest Villa 2 Miles To D/T,1,Julie,54000071
Daniel is a great host and the apartment is wonderful. Lots of room with a king sized bed very comfortable linens walk in closet and a beautifully remodeled kitchen. The neighborhood is quiet but within walking distance to a convenient bus stop that will take you downtown in just minutes. There is private backyard with 2 entrances to the guest house. I provided a grocery list to Daniel a few days before my stay and when I arrived the fridge was stocked with the items I needed. He even let me borrow his bike for a trip to nearby Zilker Park which is beautiful. The experience was fantastic from start to finish. I have no regrets and will definitely stay here again if I ever get back to Austin. Thanks Daniel.,1/12/2013,213651,Daniel,3330807,104099,Zilker Guesthouse,1,Ken,54000072
Great experience.  The apartment is in a great location and as presented.  I will stay again when I return to Austin.  Christian was a pleasure to work with and responded to any questions we had promptly.,1/12/2013,1648227,Chris,3335094,321857,Awesome 2BR/2BA Downtown Austin Apt,1,Bryan,54000073
Helpful owner Sovay made my stay very comfortable.,1/12/2013,347068,Sovay,3332105,69352,Enchanting Zilker Cottage~Downtown,1,Brian,54000074
Andi's apartment was everything I was seeking for. In a walking distance from the city center with loads of cafes and restaurants in the neighborhood and two nice bedrooms kitchen/living-room and a bathroom. If I ever get so lucky to visit Austin again I will first check to see if this apartment is available. Thank you Andi for a pleasant stay:),1/12/2013,11349,Alexandria,3332081,296286,Charming Apartment-BEST LOCATION! A,1,Geirfinnur,54000075
This studio location allowed us to see a side of Austin that we usually miss.  It was very spacious and had all the comforts of home.  The cute owl mugs restaurant-row shower curtain and unique wall decor made it fun and not too fussy.  Our boys appreciated the grand piano and basketball goal.  Rachel was able to accommodate us on very short notice and even made delicious cookies for us when we arrived.,1/12/2013,1742984,Rachel,3335750,343462,Charming Family Friendly Apartment,1,Marty,54000076
By luck I discovered Airbnb and found Carrie's listing in Austin.  Carrie made us feel welcome and we found her apartment perfect for our extended stay.  The location to downtown Austin and the trendy SoCo (South Congress) restaurants and shops made it easy to walk or take a short drive to all of our favorite places.  I love that the apartment is part of a wonderful older home in a wonderful walkable neighborhood.  We would not hesitate to come back.,1/13/2013,1708289,Laura,3338837,765098,Historic Apartment Travis Heights,1,Jim,54000077
The Cottage is truly ADORABLE - it gets great light is the perfect size and is well laid out. Andy and Ellen go above and beyond by providing fresh organic foods paraben-free toiletries good linens great restaurant recommendations guides and directions an awesome radio (Austin has terrific stations!) really good books and 2 bikes with helmets all in good condition. They even allow you to use their washer and dryer! They were very gracious easy and laid back hosts. There were a couple of pretty MINOR drawbacks: the heater is a tad on the loud side the bikes needed a little cleaning before use (just a quick rinse really) and the neighbors were doing what seemed like a small renovation project a couple of days which wouldn't normally be a big deal but we were trying to escape our landlord's endless renovations and wanted to lay around and read in the mornings. Please don't let these little things discourage you from staying here (we just like to be totally up front and thorough). We had a wonderful time and instantly felt right at home. We never even had to knock on their door because they thought of everything we could have wanted!,1/13/2013,378744,Andy & Ellen,3338331,72833,Central Cottage with bikes!,1,Erika & Carey,54000078
"""My time in Austin was made so much better by Jennifer and her beautiful little house.I was in town to play a few concerts and was unfamiliar with the area in which her rental was in I contacted Jennifer and she replied """"No Problem I will come and pick you up!"""" I couldn't be happier with the experience and totally recommend it. """,1/13/2013,1907305,Jen,3338275,658102,Tiny House Privacy near Downtown,1,Sam,54000079
Steve was a great host! He left us very thorough directions for everything and his place was immaculate when we arrived. The apartment was in a perfect location also easily accessible to all of the downtown bars and restaurants. I highly recommend staying at Steve's place!,1/14/2013,3531593,Steve,3344309,690984,Perfect 4 Executives/Professionals,1,Danielle,54000080
Simple - clean - relaxing.,1/14/2013,2484820,Sheila,3346985,539839,Comfortable Family Vacation House,1,Erik,54000081
This was one of the most unique and enjoyable Airbnb experiences. The vintage trailer was amazing. Remodeled and designed beautifully. It was the perfect stay for a weekend getaway to Austin. Sara was a great host. She was there to great us and took time to make sure we were settled in. I would highly recommend staying here!,1/14/2013,1647037,Sara,3349781,321636,Chic 1953 Spartanette Guesthouse,1,Dayna,54000082
As usual Verde Camp and our host Bj were awesome! Great location a couple blocks off South Congress in a residential neighborhood (all the benefits of central location none of the noise and parking issues of being on SoCo). Cottage was adorable perfect for a couples night away or a relaxed stay with friends! Well-equiped spacious and insanely comfortable bedding/mattress. Would absolutely and WILL absolutely return for another stay when we have more time! Thanks again!,1/14/2013,57304,Bj,3348435,14577,Verde Camp / South Congress 1BR +,1,Madeleine,54000083
Enjoyed the stay.  Everything was as described and the pictures are accurate.  We stayed two nights and the girlfriend thought it was clean so it was clean.  Will definitely consider again!,1/14/2013,1151576,Joe & Bella,3346181,224979,Guest Cottage 2 Miles To D/T,1,John,54000084
Bill's place is wonderful!  You can tell that he and his wife enjoy hosting because they've paid attention to every detail.  They knew I was in town for my birthday and had a balloon on the door when I arrived.  Upon entering the apt. you're greeted by the smell of a freshly cleaned home and quirky sculpture showing you the way upstairs. At the top the place is simply and tastefully decorated.  Everything is top of the line.  They've maximized the space with a seating area where you can enjoy the magazines and many books about Austin and the area that they've left to share.  There's a kitchen space with coffee and all the fixings and they even stock the fridge with some surprise goodies.  The bed and linens are very comfortable and at night you get a view of the congress building downtown.  The bathroom while small had everything: nice bathrobes body wash shampoo & conditioner and very nice towels.  In fact even my husband commented that if might be time for nicer towels at home!  It's pretty cute they even leave a toothbrush and razor in case you've forgotten yours.  The proximity to South Congress is perfect.  Close enough to walk to everything but far enough to get a quiet night of sleep.  Privacy was no issue.  I think I saw the homeowners come and go a couple of times but I never met them.  However with the handwritten note and fresh flowers they leave I felt very welcomed.  It would be a pleasure to visit Bill's place again.,1/14/2013,3626574,Bill,3345889,705858,Luxury Carriage House-Travis Height,1,Nicole,54000085
We had such a wonderful weekend at the Austinville Cottage!  The cottage is comfortable and in the best location ever.  You can walk to so many different restaurants -- we had a marvelous dinner at Lenoir one evening and what have to be Austin's best chicken at Mrs. P's Electric Cock the next day for lunch!  SoCo also is great for wandering and checking out the fun random stores - of course I ended up with a vintage leather jacket with fringe I mean how could I not?  The outdoor area at the cottage is perfect too for hanging out with friends listening to the CREEK and there is even a heat lamp.  Seriously this place rocks!,1/14/2013,740347,Chris,3346587,341530,The Austinville Cottage in SoCo,1,Amy,54000086
Really enjoyed our stay in the cute little cottage. The amenities are comfortable and the location is outstanding. Veronica is a delightful and friendly host. Will definitely go back!,1/14/2013,167892,Veronica,3342582,300574,RETRO GROOVY AND Hip Cottage/LOFT,1,Jane,54000087
The location is great!! We were able to walk to many restaurants.  The space was very clean.,1/14/2013,2595932,Amber,3343281,528338,Suite Spot (Zilker),1,Marlee,54000088
"""Edith was a great host and her house was a the perfect space for our annual cousin trip.",1/14/2013,,,3348821,326936,,1,Franchesca,54000089
The reservation was canceled 261 days before arrival. This is an automated posting.,1/15/2013,3222157,Tracey,3356016,644051,Huge Craftsman Bungalow in SoCo,1,Renee,54000090
"""Great stay in Austin and loved staying in Heather's condo. Great location would love to return and stay in her condo on our next visit.",1/15/2013,,,3352942,276522,,1,Cindy,54000091
"""The Southwestern Adobe Guest House was exactly as advertised! Simon and his wife made my wife and me feel like friends from the moment we arrived. We were so busy it was unfortunate we didn't have more time to spend with them. But sweet Molly the dog was around and always willing to let us pet her!",1/15/2013,,,3351276,644773,,1,LeRoy,54000092
"""Dan's cottage is a lovely little getaway. The cottage itself is exactly as described and the surrounding gardens are delightfully whimsical! You never know what you're going to see keeping the Koi company in the pond. Buzz Lightyear? Shek? Well yes. You can't help but get a little giddy walking and peeking around.",1/15/2013,,,3354906,78974,,1,Laura,54000093
